Jahr	Einfaches Prüfungsverfahren	Vereinfachtes Bewilligungsverfahren	Umfassendes Bewilligungsverfahren	Begründung von Stockwerkeigentum	Festlegung max. Nettomietzins
2022	2	8	2	1	0
2023	27	20	6	11	3
2024	73	41	10	18	3
