"Jahr"	"Messe"	"Erlenmatt"
"2011"	0.0303421035	0.0016158517
"2012"	0.0291254346	0.0027600963
"2013"	0.0305635907	0.0044131515
"2014"	0.0290018478	0.0049432595
"2015"	0.0278475306	0.0048963843
"2016"	0.0218584967	0.0068071806
"2017"	0.0205795796	0.0068546233

