JAHR	5-12 J.	13-17 J.	18-24 J.
2012	11737	7540	15734
2013	11836	7604	15542
2014	12093	7481	15291
2015	12470	7510	14990
2016	12776	7483	14778
2017	13049	7475	14635
2018	13357	7501	14494
2019	13585	7558	14159
2020	13892	7681	14341
2021	14091	7874	14070
2022	14644	8180	14368
