Zuzugs-/Wegzugsort	       2014	       2015	       2016	       2017	       2018	       2019	       2020	       2021	       2022	       2023
Schweiz. Aggl. BS	-224	-197	-220	-175	-201	-221	-190	-246	-197	-164
Übrige Schweiz	-7	-9	11	9	-3	-8	10	31	-66	-13
Ausland	379	340	324	313	320	366	394	303	601	386
Unbekannt	-199	-176	-188	-183	-147	-91	-66	-130	-142	-142
Total	-51	-42	-73	-36	-31	46	148	-42	196	67
