"Jahr"	"Industrie"	"Dienstleistungen"
2011	15.156742	1.7176465
2012	14.821948	1.7970949
2013	14.447098	1.8452773
2014	14.352838	1.8797465
2015	14.769265	1.757283
2016	14.924785	1.7692822
2017	14.648563	1.7457294
2018	14.387972	1.6969185
2019	13.833871	1.7156234

