Monat 2022	Inland	Ausland
Jan 22	1.674104993	1.897516472
Feb 22	1.629701125	1.742963170
Mrz 22	1.740245717	2.054872901
Apr 22	1.609656415	1.951516286
Mai 22	1.706594244	1.994051432
Jun 22	1.778821489	2.203255887
Jul 22	1.662338443	1.811666236
Aug 22	1.812433281	1.814712465
Sep 22	1.752279006	2.154354513
Okt 22	1.668752217	2.087639813
Nov 22	1.539586042	2.065186424
Dez 22	1.556370080	1.955187669
		



