JAHR	Wohnviertel_Id	Wohnviertel_Name	Altersgruppe	Schweizerinnen	Schweizer	Ausländerinnen	Ausländer
2018	1	Altstadt Grossbasel	0-4	29	26	11	15
2018	1	Altstadt Grossbasel	5-9	27	18	9	5
2018	1	Altstadt Grossbasel	10-14	22	18	3	11
2018	1	Altstadt Grossbasel	15-19	24	32	10	16
2018	1	Altstadt Grossbasel	20-24	64	43	23	19
2018	1	Altstadt Grossbasel	25-29	62	75	39	34
2018	1	Altstadt Grossbasel	30-34	51	62	38	39
2018	1	Altstadt Grossbasel	35-39	47	56	45	47
2018	1	Altstadt Grossbasel	40-44	52	59	46	38
2018	1	Altstadt Grossbasel	45-49	49	78	29	45
2018	1	Altstadt Grossbasel	50-54	85	91	30	44
2018	1	Altstadt Grossbasel	55-59	74	92	17	36
2018	1	Altstadt Grossbasel	60-64	72	81	21	18
2018	1	Altstadt Grossbasel	65-69	72	81	7	7
2018	1	Altstadt Grossbasel	70-74	55	57	6	6
2018	1	Altstadt Grossbasel	75-79	54	40	1	9
2018	1	Altstadt Grossbasel	80-84	41	28	1	1
2018	1	Altstadt Grossbasel	85-89	26	13	3	1
2018	1	Altstadt Grossbasel	90-94	7	5	0	0
2018	1	Altstadt Grossbasel	95-99	1	0	0	0
2018	1	Altstadt Grossbasel	100+	0	0	0	0
2018	2	Vorstädte	0-4	51	52	41	43
2018	2	Vorstädte	5-9	29	36	32	32
2018	2	Vorstädte	10-14	24	22	32	35
2018	2	Vorstädte	15-19	39	35	36	26
2018	2	Vorstädte	20-24	117	78	41	32
2018	2	Vorstädte	25-29	125	142	107	108
2018	2	Vorstädte	30-34	91	105	138	129
2018	2	Vorstädte	35-39	74	93	118	121
2018	2	Vorstädte	40-44	59	66	96	105
2018	2	Vorstädte	45-49	60	86	84	98
2018	2	Vorstädte	50-54	98	128	81	90
2018	2	Vorstädte	55-59	108	116	39	58
2018	2	Vorstädte	60-64	96	86	28	39
2018	2	Vorstädte	65-69	125	95	19	23
2018	2	Vorstädte	70-74	125	97	14	18
2018	2	Vorstädte	75-79	141	92	14	9
2018	2	Vorstädte	80-84	109	57	3	7
2018	2	Vorstädte	85-89	81	54	6	5
2018	2	Vorstädte	90-94	71	16	2	1
2018	2	Vorstädte	95-99	16	4	0	0
2018	2	Vorstädte	100+	4	0	0	0
2018	3	Am Ring	0-4	133	149	114	104
2018	3	Am Ring	5-9	131	110	84	76
2018	3	Am Ring	10-14	111	99	61	65
2018	3	Am Ring	15-19	143	121	43	50
2018	3	Am Ring	20-24	273	211	111	113
2018	3	Am Ring	25-29	304	265	239	238
2018	3	Am Ring	30-34	247	224	315	290
2018	3	Am Ring	35-39	171	201	285	279
2018	3	Am Ring	40-44	153	166	206	211
2018	3	Am Ring	45-49	165	170	142	166
2018	3	Am Ring	50-54	210	197	125	139
2018	3	Am Ring	55-59	268	213	93	114
2018	3	Am Ring	60-64	222	203	55	81
2018	3	Am Ring	65-69	256	187	32	46
2018	3	Am Ring	70-74	248	199	21	38
