Jahr,Sehr einverstanden,Eher einverstanden,Weiss nicht /<br/>keine Antwort,Eher nicht<br/>einverstanden,Überhaupt nicht<br/>einverstanden
2003<br/>(N=1497),8.5,25.4,20.4,28.5,17.2
2005<br/>(N=1510),7.4,24.4,30.8,15.4,22.1
2007<br/>(N=1509),5.9,26.8,22.6,31.5,13.2
2011<br/>(N=1516),16.9,31.1,16.4,25.5,10.2
2015<br/>(N=1506),9,34.6,23.2,25.5,7.6
