"Jahr"	"Ersteingriff"	"Nachpflege"
2008	0.16	0.093
2009	0.287	0.32
2010	0.353	0.493
2011	0.467	0.56
2012	0.467	0.56
2013	0.707	0.793
2014	0.707	0.833
2015	0.747	0.933
2016	0.79	0.973
2017	0.79	1.04
2018	0.857	1.133
2019	0.89	1.927
2020	0.89	1.927
