Jahr	Tagesbetreuung	Frühhorte Tagesstrukturen	Mittagsmodule Tagesstrukturen	Nachmittagsmodule Tagesstrukturen
2005	1913		603
2006	1998		689
2007	2101		813
2008	2239		908
2009	2316		1019	614
2010	2928		1215	736
2011	3212		1325	879
2012	3457	188	1553	1082
2013	3560	326	1881	1474
2014	3859	474	2225	1779
2015	3987	488	2340	1937
2016	4161	416	2466	2085
2017	4115	404	2726	2329
2018	4087	416	2911	2551
2019	4269	512	3183	2815
2020	4373	536	3463	3086
2021	4409	568	3625	3227
2022	4389	656	3800	3450
2023	4492	720	4080	3748
2024	4605	720	4224	3892
