Wohnviertel	Nettoproduktion  2008 bis  2017 
Altstadt GB	28
Vorstädte	141
Am Ring	57
Breite	129
St. Alban	229
Gundeldingen	304
Bruderholz	72
Bachletten	54
Gotthelf	-14
Iselin	116
St. Johann	295
Altstadt KB	-3
Clara	41
Wettstein	113
Hirzbrunnen	183
Rosental	945
Matthäus	66
Klybeck	9
Kleinhüningen	92
Riehen	375
Bettingen	14
