Betrachtungsjahr	Zugezogene Friedmattviertel	Weggezogene Friedmattviertel	Zugezogene Kannenfeld	Weggezogene Kannenfeld	Zugezogene Landskron	Weggezogene Landskron	Zugezogene Lysbüchel	Weggezogene Lysbüchel	Zugezogene Pestalozzi	Weggezogene Pestalozzi	Saldo Friedmattviertel	Saldo Kannenfeld	Saldo Landskron	Saldo Lysbüchel	Saldo Pestalozzi
2005	299154	396062	239297	310652	870496	1010188	168834	326242	594243	784372	-96908	-71355	-139692	-157408	-190129
2006	283248	434362	385161	305809	781155	845228	132058	206887	677962	920131	-151114	79352	-64073	-74829	-242169
2007	162378	426281	306012	345069	852374	766187	256352	161035	909067	694445	-263903	-39057	86187	95317	214622
2008	251802	1881376	426257	336523	738250	753755	277904	129948	846107	767421	-1629574	89734	-15505	147956	78686
2009	410273	398899	360027	428445	771848	709053	277177	154133	868508	591374	11374	-68418	62795	123044	277134
2010	269465	341923	324966	226818	1112464	818794	704312	176056	816967	566028	-72458	98148	293670	528256	250939
2011	177960	650631	323017	293854	996744	824111	699700	361091	970693	531326	-472671	29163	172633	338609	439367
2012	413546	551113	660585	195318	1208010	680474	453991	279377	1055704	711756	-137567	465267	527536	174614	343948
2013	205055	427627	563571	304127	1142410	882407	751259	359380	1056529	824404	-222572	259444	260003	391879	232125
2014	392266	411259	327400	494451	958423	876129	664367	397181	788123	659971	-18993	-167051	82294	267186	128152
2015	488346	305969	320927	297815	909865	927016	835021	434851	1012969	595872	182377	23112	-17151	400170	417097
2016	447329	599811	523255	398145	1303909	1135091	881337	638145	1002474	966144	-152482	125110	168818	243192	36330
2017	598496	490286	435962	315668	1099298	1549301	337635	530442	883527	630062	108210	120294	-450003	-192807	253465
2018	795941	373008	473894	465145	1104870	925165	394847	453185	1226478	651049	422933	8749	179705	-58338	575429
2019	639736	432873	372419	564549	1148156	1060897	995927	251898	936797	896257	206863	-192130	87259	744029	40540
2020	334846	484054	380316	260508	1247217	1060588	487207	487795	845168	911073	-149208	119808	186629	-588	-65905
2021	637764	363841	371493	381945	1261408	744791	539941	871916	1099135	857399	273923	-10452	516617	-331975	241736
