"Jahr"	"Industrie Total"	"Dienstleistungen Total"
2011	14.867748	1.6651134
2012	14.910901	1.7304467
2013	14.452217	1.8278602
2014	14.448236	1.8622296
2015	14.876566	1.7420451
2016	14.979787	1.7488902

