Antwort,Nur Mädchen,Nur Jungen,Mädchen und Jungen,Kein Freundeskreis,Keine Angabe
2009 (N=881),7,6.6,80.6,1.4,4.4
2013 (N=1038),8.5,8.1,78.7,0.8,3.9
