"NA"	"Medianlohn"
"Grenzgänger (G)"	6798
"Schweizer"	6733
"Total"	6575
"Niedergelassene (C)"	6208
"Aufenthalter (B)"	5956
"Kurzaufenthalter (L)"	5490

