Wohnviertel_id	Arbeitsplätze pro Kopf	Rang	Wohnviertel	jahr_num
4	0.12624742370791336	1	Breite	2024
7	0.127103511144641	2	Bruderholz	2024
30	0.1633536968606432	3	Bettingen	2024
20	0.16385016410686687	4	Riehen	2024
10	0.17678210208379516	5	Iselin	2024
17	0.18558905463475736	6	Matthäus	2024
8	0.19647327525421265	7	Bachletten	2024
9	0.23923076525735293	8	Gotthelf	2024
15	0.2561872289972058	9	Hirzbrunnen	2024
18	0.4630361973254504	10	Klybeck	2024
6	0.5969374008218893	11	Gundeldingen	2024
13	0.6001717941043083	12	Clara	2024
16	0.6888662665765766	13	Rosental	2024
3	0.9799223374956431	14	Am Ring	2024
11	1.0028337155505571	15	St. Johann	2024
12	1.6758513924497334	16	Altstadt Kleinbasel	2024
14	1.9432077567358848	17	Wettstein	2024
5	2.3346752507347683	18	St. Alban	2024
19	2.964170185765766	19	Kleinhüningen	2024
1	3.413461279192434	20	Altstadt Grossbasel	2024
2	4.634334094168337	21	Vorstädte	2024
