"Jahr"	"Effektiv"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"1985"	-1028	""	""	""
"1986"	-1367	""	""	""
"1987"	-1682	""	""	""
"1988"	-1509	""	""	""
"1989"	-594	""	""	""
"1990"	-513	""	""	""
"1991"	79	""	""	""
"1992"	-28	""	""	""
"1993"	218	""	""	""
"1994"	-723	""	""	""
"1995"	-1019	""	""	""
"1996"	-1317	""	""	""
"1997"	-1502	""	""	""
"1998"	-1930	""	""	""
"1999"	-1679	""	""	""
"2000"	-986	""	""	""
"2001"	-1782	""	""	""
"2002"	-1173	""	""	""
"2003"	-952	""	""	""
"2004"	-1019	""	""	""
"2005"	-1547	""	""	""
"2006"	-1317	""	""	""
"2007"	-1700	""	""	""
"2008"	-884	""	""	""
"2009"	-1088	""	""	""
"2010"	-722	""	""	""
"2011"	-789	""	""	""
"2012"	-660	""	""	""
"2013"	-867	""	""	""
"2014"	-1277	""	""	""
"2015"	-1054	""	""	""
"2016"	-991	""	""	""
"2017"	-1007	""	""	""
"2018"	-1154	""	""	""
"2019"	-1318	""	""	""
"2020"	-1445	""	""	""
"2021"	-2287	""	""	""
"2022"	-1695	""	""	""
"2023"	-1123	""	""	""
"2024"	-792	""	""	""
"2025"	-472	""	""	""
"2026"	""	-890	-1149	-1639
"2027"	""	-847	-1092	-1588
"2028"	""	-852	-1081	-1570
"2029"	""	-868	-1082	-1555
"2030"	""	-890	-1091	-1543
"2031"	""	-912	-1105	-1536
"2032"	""	-936	-1122	-1533
"2033"	""	-959	-1140	-1536
"2034"	""	-983	-1160	-1542
"2035"	""	-1004	-1175	-1551
"2036"	""	-1022	-1189	-1559
"2037"	""	-1038	-1202	-1569
"2038"	""	-1050	-1214	-1577
"2039"	""	-1057	-1225	-1584
"2040"	""	-1062	-1235	-1588
"2041"	""	-1062	-1244	-1591
"2042"	""	-1060	-1250	-1590
"2043"	""	-1058	-1256	-1589
"2044"	""	-1056	-1260	-1587
"2045"	""	-1054	-1262	-1585
"2046"	""	-1052	-1262	-1579
"2047"	""	-1051	-1261	-1575
"2048"	""	-1051	-1259	-1571
"2049"	""	-1051	-1258	-1567
"2050"	""	-1053	-1257	-1564

