JAHR	Messe	Erlenmatt
2004	17.8	7.1
2005	17.3	5.6
2006	16.9	5.5
2007	16.1	5.3
2008	15.6	6.3
2009	15.6	5.9
2010	15.8	4.7
2011	15.9	4.6
2012	15.4	5.3
2013	14.7	5.9
2014	13.9	5.8
2015	14.1	8.2
2016	12.5	10.1
2017	12.8	11.4
2018	12.8	11.3
2019	13.4	9.3
2020	14.2	8.9
2021	15.0	9.9
2022	15.0	10.3
2023	14.9	9.9
