"Jahr"	"Recyclingquote"
2003	40.5
2004	40.8
2005	42.2
2006	42.5
2007	42.6
2008	45.2
2009	42
2010	42.9
2011	43.9
2012	44.7
2013	44
2014	43.5
2015	44
