	Schweiz	Schweiz 95% Vertrauensintervall Untergrenze	Schweiz 95% Vertrauensintervall Obergrenze	Nordwestschweiz	Nordwestschweiz 95% Vertrauensintervall Untergrenze	Nordwestschweiz 95% Vertrauensintervall Obergrenze	Basel-Stadt	Basel-Stadt 95% Vertrauensintervall Untergrenze	Basel-Stadt 95% Vertrauensintervall Obergrenze
2016	36.274	34.487	38.061	36.968	31.771	42.165			
2018	34.165	32.453	35.876	32.606	27.928	37.284	15.978	6.253	25.704
2020	32.999	31.356	34.642	35.733	31.219	40.248	20.256	10.890	29.623
2022	31.032	29.299	32.764	34.598	29.734	39.462	20.775	10.134	31.416
