""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2010-01"	0.012492	55
"2010-02"	0.012492	47
"2010-03"	0.012492	45
"2010-04"	0.012492	46
"2010-05"	0.012492	42
"2010-06"	0.012492	41
"2010-07"	0.012492	42
"2010-08"	0.012492	43
"2010-09"	0.012492	36
"2010-10"	0.012492	35
"2010-11"	0.012492	33
"2010-12"	0.012492	39
"2011-01"	0.010112	40
"2011-02"	0.010112	33
"2011-03"	0.010112	41
"2011-04"	0.010112	40
"2011-05"	0.010112	34
"2011-06"	0.010112	31
"2011-07"	0.010112	31
"2011-08"	0.010112	32
"2011-09"	0.010112	28
"2011-10"	0.010112	31
"2011-11"	0.010112	33
"2011-12"	0.010112	34
"2012-01"	0.012566	38
"2012-02"	0.012566	41
"2012-03"	0.012566	37
"2012-04"	0.012566	39
"2012-05"	0.012566	41
"2012-06"	0.012566	38
"2012-07"	0.012566	34
"2012-08"	0.012566	41
"2012-09"	0.012566	44
"2012-10"	0.012566	46
"2012-11"	0.012566	51
"2012-12"	0.012566	57
"2013-01"	0.015540	53
"2013-02"	0.015540	49
"2013-03"	0.015540	51
"2013-04"	0.015540	44
"2013-05"	0.015540	46
"2013-06"	0.015540	46
"2013-07"	0.015540	52
"2013-08"	0.015540	57
"2013-09"	0.015540	57
"2013-10"	0.015540	56
"2013-11"	0.015540	56
"2013-12"	0.015540	60
"2014-01"	0.015764	69
"2014-02"	0.015764	61
"2014-03"	0.015764	63
"2014-04"	0.015764	59
"2014-05"	0.015764	52
"2014-06"	0.015764	53
"2014-07"	0.015764	54
"2014-08"	0.015764	45
"2014-09"	0.015764	40
"2014-10"	0.015764	48
"2014-11"	0.015764	46
"2014-12"	0.015764	46
"2015-01"	0.016854	54
"2015-02"	0.016854	54
"2015-03"	0.016854	52
"2015-04"	0.016854	52
"2015-05"	0.016854	52
"2015-06"	0.016854	59
"2015-07"	0.016854	63
"2015-08"	0.016854	61
"2015-09"	0.016854	59
"2015-10"	0.016854	56
"2015-11"	0.016854	56
"2015-12"	0.016854	62
"2016-01"	0.021588	64
"2016-02"	0.021588	62
"2016-03"	0.021588	61
"2016-04"	0.021588	68
"2016-05"	0.021588	71
"2016-06"	0.021588	74
"2016-07"	0.021588	76
"2016-08"	0.021588	76
"2016-09"	0.021588	81
"2016-10"	0.021588	80
"2016-11"	0.021588	82
"2016-12"	0.021588	76
"2017-01"	0.020671	80
"2017-02"	0.020671	70
"2017-03"	0.020671	72
"2017-04"	0.020671	81
"2017-05"	0.020671	73
"2017-06"	0.020671	74
"2017-07"	0.020671	72
"2017-08"	0.020671	65
"2017-09"	0.020671	60
"2017-10"	0.020671	64
"2017-11"	0.020671	62
"2017-12"	0.020671	61
"2018-01"	0.018118	66
"2018-02"	0.018118	62
"2018-03"	0.018118	64
"2018-04"	0.018118	65
"2018-05"	0.018118	61
"2018-06"	0.018118	60
"2018-07"	0.018118	67
"2018-08"	0.018118	67
"2018-09"	0.018118	61
"2018-10"	0.018118	55
"2018-11"	0.018118	49
"2018-12"	0.018118	54
"2019-01"	0.020101	57
"2019-02"	0.020101	59
"2019-03"	0.020101	67
"2019-04"	0.020101	68
"2019-05"	0.020101	68
"2019-06"	0.020101	78
"2019-07"	0.020101	77
"2019-08"	0.020101	74
"2019-09"	0.020101	63
"2019-10"	0.020101	65
"2019-11"	0.020101	66
"2019-12"	0.020101	69

