Jahr	Hitzetage
1961	18
1962	20
1963	9
1964	24
1965	6
1966	7
1967	12
1968	6
1969	7
1970	4
1971	14
1972	4
1973	10
1974	7
1975	11
1976	23
1977	1
1978	2
1979	7
1980	5
1981	8
1982	10
1983	23
1984	9
1985	10
1986	16
1987	12
1988	8
1989	10
1990	16
1991	16
1992	22
1993	11
1994	28
1995	20
1996	6
1997	13
1998	18
1999	7
2000	15
2001	14
2002	12
2003	43
2004	14
2005	19
2006	25
2007	8
2008	9
2009	17
2010	19
2011	15
2012	13
2013	15
2014	9
2015	32
2016	13
2017	28
2018	31
2019	25
2020	22
2021	6
2022	37
2023	28
