"Jahr"	"Handel, Reparatur"	"Verkehr, Lagerei"	"Gastgewerbe"	"Information, Kommunikation"
2011	100.0	100.0	100.0	100.0
2012	104.0	102.4	99.4	107.3
2013	105.4	97.7	109.1	107.5
2014	106.4	101.6	110.0	100.2
2015	111.4	89.1	107.0	101.5
2016	112.7	85.3	103.5	101.0
2017	113.0	84.6	106.2	99.6
2018	110.2	87.6	109.9	98.9
2019	108.9	92.5	111.0	103.5
2020	110.1	73.0	46.0	100.8

