	Quellensteuerertrag 2014	Quellensteuerertrag 2023
Altstadt GB	6251102	15956846
Vorstädte	12918655	16562198
Am Ring	19039149	31039762
Breite	11122930	14283176
St. Alban	22985492	36744630
Gundeldingen	18296570	34801115
Bruderholz	9297337	14031184
Bachletten	9049113	14553350
Gotthelf	7214675	8886010
Iselin	13158050	16856677
St. Johann	21278307	24867683
Altstadt KB	3773594	4786307
Clara	3777834	8680151
Wettstein	9739213	13099352
Hirzbrunnen	3656219	6654771
Rosental	7361034	17330984
Matthäus	20719413	22376896
Klybeck	3724131	5128647
Kleinhüning.	1430434	2345239
Riehen	20403453	23898690
Bettingen	730407	789170

