"Jahr"	"Neubau"	"Umbausaldo"	"Abbruch"	"Nettoproduktion"
2013	177	35	-41	171
2014	369	180	-53	496
2015	788	25	-178	635
2016	412	106	-75	443
2017	369	54	-59	364
2018	807	67	-114	760
2019	865	158	-186	837
2020	607	219	-158	672
2021	851	222	-96	977
2022	902	405	-138	1169
2023	750	150	-100	800

