"Branche"	"2018"	"2019"	"2020"
"Sonst. wirtsch. DL"	2260	2196	2052
"Schifffahrt, Luftfahrt"	994	1110	1012
"Landverkehr"	603	613	595
"Architektur- und Ingenieurbüros"	529	569	544
"Chemie"	632	585	509
"Baunebengewerbe"	513	489	499
"Öff. Verwaltung"	389	411	493
"Personalvermittlung, -überlassung"	274	269	457
"Lagerei"	471	461	422
"Energieversorgung"	340	335	345

