"Staatsangehörigkeit"	"Basel-Stadt"	"Schweiz"
"Deutschland"	5.4	7.4
"Italien"	9.7	12.5
"Türkei"	20.4	24.0
"EU-West + EFTA + UK"	6.4	8.3
"EU-Ost"	5.3	6.5
"Balkan"	17.9	21.5
"Mittel- und Südamerika"	5.7	7.2
"Arabische Länder"	7.5	9.2
"Afrikanische Länder"	8.5	10.6
"Übrige Länder"	3.3	4.1

