Land,Erwerbstätigenquote,95% Vertrauensintervall,95% Vertrauensintervall Obergrenze
Deutschland,0.871,0.856,0.886
EU-Oststaaten,0.748,0.695,0.801
Spanien,0.746,0.701,0.791
Total Schweiz,0.738,0.73,0.746
Total,0.727,0.721,0.733
Restliche Welt,0.719,0.699,0.739
Total Ausland,0.71,0.699,0.721
Italien,0.691,0.659,0.723
Mittel- und Südamerika,0.591,0.523,0.659
Ehem. Jugoslawien,0.576,0.544,0.608
Türkei,0.493,0.457,0.529
