"Jahr"	"Bewilligte Veranstaltungen"	"Bewilligte Rodungsgesuche"
2008	14	8
2009	23	12
2010	20	9
2011	20	10
2012	26	11
2013	23	5
2014	20	13
2015	15	11
2016	15	7
2017	20	5
2018	24	6
2019	29	4
2020	18	9
2021	16	3
