"CityDescr"	"Gesamte Agglomeration"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	517.33	319.44	523.41	599.8	661.95
Bern	475.2	381.23	517.99		
Genf	525.28	346.92	512.16		632.24
Lausanne	488.95	343.55	558.05		
Zürich	496.4	330.55	566.04		
