	Werktage	Wochenende
672 Zoll CH-D, Weilstrasse	96.21	97.02
671 Zoll CH-D, Freiburgerstrasse	78.76	91.69
656 Elsässerstrasse 146	70.25	83.50
235 A3-A35, Grenze CH-F	55.36	87.66
413 Gundeldingerstrasse 107	52.24	60.11
653 Flughafenstrasse 30	50.51	67.28
402 Hochbergerstrasse 55	48.85	68.38
