Jahr	Klybeck	Kleinhüningen
2009	52	16
2010	64	22
2011	59	31
2012	50	38
2013	54	30
2014	46	28
2015	42	24
2016	59	31
2017	57	38
2018	40	43
2019	55	14
2020	40	23
2021	65	37
2022	52	47
