"Codegeo"	"GemeindeDescr"	"Bevölkerungsdichte"
99968273	Riespach	85.175202156
99968284	Roppentzwiller	169.75609756
99968286	Rosenau	361.98473282
99968297	Saint-Louis	1274.9146758
99968309	Sierentz	286.93054518
99968312	Sondersdorf	36.890951276
99968325	Steinsoultz	202.11640212
99968327	Stetten	84.951456311
99968333	Tagsdorf	114.28571429
99968341	Uffheim	223.11320755
99968347	Vieux-Ferrette	98.29787234
99968349	Village-Neuf	663.81381381
99968353	Wahlbach	77.201257862
99968355	Waldighofen	345.1901566
99968357	Waltenheim	207.25806452
99968362	Wentzwiller	169.07894737
99968363	Werentzhouse	134.01826484
99968380	Wolschwiller	45.670103093
99968382	Zaessingue	75.951903808
