Jahr	Schweiz	Deutschland	Frankreich	Niederlande	Vereinigte Staaten	Italien	Vereinigtes Königreich	Spanien	Indien	VR China	Übrige Länder
Logiernächte 2012	313411	178209	50822	27068	110196	41736	81158	21644	14735	16545	226383
Logiernächte 2021	401814	115520	34673	34189	30135	23598	16002	14657	3141	1609	109269
Marktanteile (rechte Skala) 2012	0.289683863770176	0.164717484959428	0.046974462684870	0.025018786272757	0.10185348642664	0.038576328649320	0.075013841300592	0.020005416362035	0.013619470065357	0.015292441956656	0.209244417496143
Marktanteile (rechte Skala) 2021	0.512121355022323	0.147232945920697	0.044191550674414	0.043574681337281	0.038407763377079	0.030076203755511	0.020394923828108	0.018680689823058	0.004003278074246	0.002050708188940	0.139265899998343
