"Jahr"	"Heizöl"	"Erdgas"	"Elektrizität"	"Fern-/Nahwärme"	"Treibstoffe"	"Sonstiges"
2010	503.116594	1262.9277103	1628.288805	1214.478351	813.83650478	149.4910443
2012	443.12365626	1157.7843572	1545.361385	1177.604792	756.19301656	144.0107087
2014	353.12950264	983.79301066	1440.0999937	1011.848939	767.911986	156.88474976
2016	258.23841724	932.60845667	1459.7195868	1145.440108	767.873269	142.00136585
2018	215.70116311	692.60280622	1339.255384	1142.695301	757.815644	124.79490039
2020	198.34706706	694.91957457	1348.2589341	1182.2252351	584.289781	136.91384859
2022	175.072661	558.40238675	1239.101656	1136.0765582	557.885621	198.43427245
