	Ressourcenindex nach Kanton	Durchschnitt Schweiz
ZG	247.7	100
SZ	172.4	100
NW	159.5	100
BS	149.5	100
GE	145.3	100
ZH	120.5	100
OW	119.3	100
VD 	99.6	100
TI	97.1	100
BL	96.8	100
SH	91.7	100
NE	90.5	100
LU	89	100
IR	88.8	100
AR	85.3	100
AG	83.8	100
GR	83.3	100
FR	79.9	100
SG	78.8	100
TG	78.4	100
BE	76.6	100
SO	73	100
GL	71.2	100
UR	70.1	100
VS	66.1	100
JU	65.2	100


	
