Wohnviertelid	Wohnviertel_Name	2020	Wohnanteil
1	Altstadt GB	171201	22.78
2	Vorstädte	356982	26.77
3	Am Ring	688618	55.77
4	Breite	501367	82.37
5	St. Alban	820184	40.42
6	Gundeldingen	1023897	64.55
7	Bruderholz	645077	87.86
8	Bachletten	885688	85.40
9	Gotthelf	409580	77.89
10	Iselin	876226	80.12
11	St. Johann	927642	44.85
12	Altstadt KB	147813	35.01
13	Clara	197691	53.43
14	Wettstein	363815	42.30
15	Hirzbrunnen	478345	68.01
16	Rosental	371422	39.12
17	Matthäus	768258	79.67
18	Klybeck	323345	33.70
19	Kleinhüningen	131108	23.28
20	Riehen	1385265	81.25
30	Bettingen	85458	65.54
