"Jahr"	"Motorfahrzeugbestand"	"Motorisierungsgrad (rechte Skala)"
1995	71774	298.9
1996	71621	299.4
1997	71277	299.9
1998	72401	306.6
1999	73176	311.3
2000	73430	315.7
2001	73851	318.9
2002	73748	317.6
2003	73903	314.9
2004	78738	331.6
2005	78326	329.5
2006	77930	327.5
2007	77788	325.6
2008	77695	322.8
2009	77523	319.1
2010	78123	319.3
2011	78827	320.8
2012	79996	325
2013	79824	320.2
2014	80306	319.4
2015	80258	316.6
2016	81865	320
2017	81877	318.6
2018	81074	312.5
2019	80588	309.2
2020	81058	307.6
2021	81817	309.9
2022	81409	302.1
2023	81801	300
