Grossregion	Anteil in %	95% Vertrauensintervall Untergrenze	95% Vertrauensintervall Obergrenze
Genferseeregion	9.6	7.7	11.6
Mittelland	6.9	5.3	8.5
Nordwestschweiz	5.4	3.5	7.3
Zürich	4.7	3.3	6.1
Ostschweiz	2.6	1.4	3.7
Zentralschweiz	2.1	1.0	3.2
Tessin	4.8	1.9	7.8
Schweiz	5.7	5.1	6.3
