Jahr	Abbruch
2005	14
2006	134
2007	107
2008	125
2009	150
2010	146
2011	58
2012	26
2013	41
2014	53
2015	178
2016	75
2017	59
2018	114
2019	186
2020	154
2021	96
2022	138
2023	53
2024	77

