"Verbrauchergruppe"	"Heizöl"	"Erdgas"	"Abfall"	"Elektrizität"	"Fernwärme"	"Holz"	"Thermische Solarenergie"	"Umweltwärme"	"Benzin"	"Diesel"
Wohnen	142.06110218	205.19922051		420.78969472	554.37800551	21.934630839	18.75458452	18.673948		
Nichtwohnen	56.285964883	477.47458806	61.45541111	846.80209984	495.27320929	5.4383252408	2.11235188	8.544597		
Verkehr		12.245766		42.7671395					224.836548	313.336111
