""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2015-01"	0.073959	37
"2015-02"	0.073959	32
"2015-03"	0.073959	30
"2015-04"	0.073959	30
"2015-05"	0.073959	27
"2015-06"	0.073959	23
"2015-07"	0.073959	26
"2015-08"	0.073959	27
"2015-09"	0.073959	30
"2015-10"	0.073959	32
"2015-11"	0.073959	33
"2015-12"	0.073959	34
"2016-01"	0.072935	35
"2016-02"	0.072935	33
"2016-03"	0.072935	32
"2016-04"	0.072935	29
"2016-05"	0.072935	25
"2016-06"	0.072935	25
"2016-07"	0.072935	27
"2016-08"	0.072935	33
"2016-09"	0.072935	33
"2016-10"	0.072935	33
"2016-11"	0.072935	26
"2016-12"	0.072935	25
"2017-01"	0.057570	27
"2017-02"	0.057570	26
"2017-03"	0.057570	25
"2017-04"	0.057570	18
"2017-05"	0.057570	24
"2017-06"	0.057570	20
"2017-07"	0.057570	19
"2017-08"	0.057570	25
"2017-09"	0.057570	27
"2017-10"	0.057570	24
"2017-11"	0.057570	20
"2017-12"	0.057570	26
"2018-01"	0.068838	30
"2018-02"	0.068838	28
"2018-03"	0.068838	27
"2018-04"	0.068838	28
"2018-05"	0.068838	27
"2018-06"	0.068838	28
"2018-07"	0.068838	25
"2018-08"	0.068838	26
"2018-09"	0.068838	28
"2018-10"	0.068838	28
"2018-11"	0.068838	30
"2018-12"	0.068838	31
"2019-01"	0.068428	30
"2019-02"	0.068428	28
"2019-03"	0.068428	34
"2019-04"	0.068428	31
"2019-05"	0.068428	26
"2019-06"	0.068428	26
"2019-07"	0.068428	29
"2019-08"	0.068428	29
"2019-09"	0.068428	27
"2019-10"	0.068428	27
"2019-11"	0.068428	24
"2019-12"	0.068428	23
"2020-01"	0.067403	17
"2020-02"	0.067403	21
"2020-03"	0.067403	27
"2020-04"	0.067403	28
"2020-05"	0.067403	27
"2020-06"	0.067403	29
"2020-07"	0.067403	31
"2020-08"	0.067403	30
"2020-09"	0.067403	28
"2020-10"	0.067403	28
"2020-11"	0.067403	31
"2020-12"	0.067403	32
"2021-01"	0.083998	34
"2021-02"	0.083998	38
"2021-03"	0.083998	37
"2021-04"	0.083998	40
"2021-05"	0.083998	41
"2021-06"	0.083998	43
"2021-07"	0.083998	40
"2021-08"	0.083998	36
"2021-09"	0.083998	28
"2021-10"	0.083998	23
"2021-11"	0.083998	24
"2021-12"	0.083998	26
"2022-01"	0.052653	25
"2022-02"	0.052653	27
"2022-03"	0.052653	26
"2022-04"	0.052653	15
"2022-05"	0.052653	22
"2022-06"	0.052653	21
"2022-07"	0.052653	23
"2022-08"	0.052653	21
"2022-09"	0.052653	21
"2022-10"	0.052653	19
"2022-11"	0.052653	18
"2022-12"	0.052653	19
"2023-01"	0.061462	21
"2023-02"	0.061462	23
"2023-03"	0.061462	21
"2023-04"	0.061462	22
"2023-05"	0.061462	23
"2023-06"	0.061462	23
"2023-07"	0.061462	26
"2023-08"	0.061462	33
"2023-09"	0.061462	26
"2023-10"	0.061462	29
"2023-11"	0.061462	27
"2023-12"	0.061462	26
"2024-01"	0.060438	30
"2024-02"	0.060438	26
"2024-03"	0.060438	26
"2024-04"	0.060438	25
"2024-05"	0.060438	21
"2024-06"	0.060438	23
"2024-07"	0.060438	27
"2024-08"	0.060438	29
"2024-09"	0.060438	32
"2024-10"	0.060438	21
"2024-11"	0.060438	17
"2024-12"	0.060438	18

