	2019	2020	 gleitender Durchschnitt 2019	 gleitender Durchschnitt 2020
01. Jan	3850	3586		
02. Jan	4982	4310		
03. Jan	4964	2956		
04. Jan	2503	2848	4044	4614
05. Jan	2398	8002	4936	5625
06. Jan	7700	8669	5413	6462
07. Jan	8158	9002	5774	7072
08. Jan	7188	9450	6048	7276
09. Jan	7504	8574	6145	7323
10. Jan	6887	4390	6081	7490
11. Jan	3177	3173	6063	7620
12. Jan	1953	9172	6123	7731
13. Jan	7577	9579	6289	7807
14. Jan	8576	9776	6392	7725
15. Jan	8349	9987	6527	7743
16. Jan	8223	7995	6605	7712
17. Jan	7834	4518	6676	7645
18. Jan	3721	2960	6686	7604
19. Jan	2451	8701	6619	7463
20. Jan	7650	9289	6419	7315
21. Jan	8106	8792	6330	7306
22. Jan	6947	8951	6195	7270
23. Jan	7602	7933	6166	7263
24. Jan	6887	4267	6166	7221
25. Jan	3522	2910	6135	6938
26. Jan	2451	8408	6170	6746
27. Jan	7430	7305	6316	6707
28. Jan	8349	7451	6206	6758
29. Jan	7971	8677	6038	6716
30. Jan	6830	8291	6053	6670
31. Jan	5710	3971	6013	6509
01. Feb	3628	2589	6028	6489
02. Feb	2176	7282	5993	6680
03. Feb	7530	7162	5982	6745
04. Feb	8106	8786	6000	6693
05. Feb	7896	9137	6220	6712
06. Feb	6952	7923	6255	6795
07. Feb	7249	4107	6261	6493
08. Feb	3879	3170	6209	6466
09. Feb	2214	5169	6226	6449
10. Feb	7169	6969	6311	6255
11. Feb	8223	8667	6581	6217
12. Feb	8494	7778	6678	6310
13. Feb	8838	7662	6798	6401
14. Feb	7930	4752	7072	6781
15. Feb	4715	3812	7339	7165
16. Feb	4133	7828	7532	7164
17. Feb	9039	9656	7672	7539
18. Feb	9578	8661	7799	7686
19. Feb	9472	10405	7892	7620
20. Feb	9727	8685	7920	7503
21. Feb	8580	4294	7897	7504
22. Feb	4908	2990	7917	7165
23. Feb	3972	7837	7966	6830
24. Feb	9183	7281	8066	6219
25. Feb	9918	6317	8127	5937
26. Feb	10172	6132	7789	5722
27. Feb	10155	6710	7637	5691
28. Feb	#NV	2788	7533	5117
29. Feb	6218	2769	#NV	4983
01. Mrz	3838	3823	7054	5011
02. Mrz	3245	6345	6686	4831
03. Mrz	5834	6510	6319	4655
04. Mrz	7340	4870	5845	4763
05. Mrz	7600	5483	5927	4823
06. Mrz	6837	3539	5828	5429
07. Mrz	6792	3188	5691	5532
08. Mrz	3151	8065	5214	5971
09. Mrz	2282	7066	4949	6586
10. Mrz	2495	9588	4267	7001
11. Mrz	5485	9175	4006	7067
12. Mrz	2825	8386	3699	7147
13. Mrz	5009	4001	3838	7102
14. Mrz	4648	3747	3894	6957
15. Mrz	4123	7751	4757	6435
16. Mrz	2675	6049	5308	5930
17. Mrz	8535	5935	6293	5450
18. Mrz	9340	5638	6965	5162
19. Mrz	9718	5030	7633	4913
20. Mrz	9719	1981	7850	4408
21. Mrz	9324	2006	8135	4164
22. Mrz	5636	4217	8246	3935
23. Mrz	4670	4342	8360	3751
24. Mrz	9314	4331	8331	3689
25. Mrz	10142	4353	8425	3876
26. Mrz	9512	4590	8561	3779
27. Mrz	10380	3296	8639	3708
28. Mrz	10273	1325	8699	3734
29. Mrz	10273	1325	8868	3805
30. Mrz	6182	3719	9009	3899
31. Mrz	5090	4521	8714	3946
01. Apr	10496	4831	8061	3951
02. Apr	11128	5011	7874	4242
03. Apr	7451	4920	7775	4434
04. Apr	5809	3330		
05. Apr	8962	3365		
06. Apr	5489	5063		

