Jahr	Neubau	Abbruch	Umbausaldo	Nettowohnungsproduktion
2004	0	0	0	0
2005	0	0	-9	-9
2006	0	0	-5	-5
2007	0	0	0	0
2008	0	0	0	0
2009	239	-2	-4	233
2010	9	0	1	10
2011	0	-7	0	-7
2012	0	0	8	8
2013	15	0	1	16
2014	63	0	3	66
2015	574	-39	2	537
2016	0	0	0	0
2017	80	0	2	82
2018	124	0	5	129
2019	399	0	1	400
2020	0	0	2	2
2021	0	0	2	2
2022	53	4	1	50
2023	55	0	2	57
2024	0	0	2	2
