""	"Basel-Stadt"	"Basel-Landschaft"	"Jura"	"BS/BL/JU"	"Schweiz"
"Landwirtschaft"	4.1	3.3	2.8	3.0	3.1
"Industrie"	22.7	13.0	14.3	15.7	11.4
"Dienstleistungen"	10.0	7.2	6.1	8.3	7.6
"Total"	11.0	7.9	7.1	9.1	7.8

