"Wohnviertel_ID"	"Wohnviertel_Name"	"Leerwohnungsquote (%)"	"Anzahl leerstehende Wohnungen"
1	"Altstadt Grossbasel"	2.19	35
2	"Vorstädte"	2.08	72
3	"Am Ring"	1.44	95
4	"Breite"	1.12	62
5	"St. Alban"	1.04	73
6	"Gundeldingen"	1.21	140
7	"Bruderholz"	0.90	41
8	"Bachletten"	0.62	46
9	"Gotthelf"	0.89	38
10	"Iselin"	1.22	124
11	"St. Johann"	0.92	98
12	"Altstadt Kleinbasel"	0.84	14
13	"Clara"	1.02	27
14	"Wettstein"	0.59	20
15	"Hirzbrunnen"	0.45	22
16	"Rosental"	1.61	67
17	"Matthäus"	0.91	82
18	"Klybeck"	1.10	43
19	"Kleinhüningen"	0.97	15
20	"Riehen"	0.99	108
30	"Bettingen"	1.24	7

