JahrBezirk	Schweiz. Aggl. BS	Übrige Schweiz	Ausland	Unbekannt	Total
2017: Klybeck	-36	32	82	-51	27
2017: Kleinhüningen	-39	0	24	-15	-30
.					
2018: Klybeck	-36	-13	146	-47	50
2018: Kleinhüningen	-22	-4	30	-19	-15
..					
2019: Klybeck	-60	4	94	-28	10
2019: Kleinhüningen	-37	-15	21	-12	-43
...					
2020: Klybeck	-98	-7	121	-43	-27
2020: Kleinhüningen	-43	-16	55	-16	-20
....					
2021: Klybeck	-80	-12	75	-58	-75
2021: Kleinhüningen	-48	-9	13	-16	-60
....					
