Jahr	Über Grenzwert am Tag	Über Grenzwert in der Nacht	Über 50 dB(A) in der Nacht	LaermUeberschrTag	LaermUeberschrNacht	LaermUeberschrNacht50dbA	Mittlere Bevölkerung
2000	13.37523152179	17.040003799331	25.957352498852	25347	32292	49191	189507
2003	14.91206669778	19.401014043871	25.631125631125	28117	36581	48328	188552
2008	14.473767717368	16.235455891686	24.565792257245	27367	30698	46449	189080
