jahr	Stadt Basel	Klybeck	Kleinhüningen
2000	1.373474508	1.146914255	1.496062992
2001	1.493552019	2.075368651	3.624901497
2002	1.395482206	1.064991808	1.65615142
2003	1.460264865	1.865057597	3.511450382
2004	1.519782646	1.645639057	3.358778626
2005	1.582298631	1.481888035	1.374045802
2006	1.422925739	2.212743268	1.221374046
2007	1.401275235	1.943039659	1.06870229
2008	1.239669421	1.893838357	1.14416476
2009	0.927759714	1.147584734	1.447067784
2010	0.766251174	0.667200427	1.370906321
2011	0.493026	0.320170758	0.5702067
2012	0.472934712	0.4	0.356379187
2013	0.327591783	0.350121196	0.222551929
2014	0.201562888	0.215343203	0.295857988
2015	0.302435835	0.214018192	0.073691968
2016	0.397543567	0.18706574	0.293901543
2017	0.468213925	0.319914689	0.661278472
2018	0.686270598	0.318809777	0.734214391
2019	1.01145114310000	0.58448459080000	0.66079295150000
2020	0.96	0.78	1.62
2021	1.13	0.41	0.50
2022	1.19	1.17	1.29
2023	1.07	1.10	0.97
2024	0.77	0.99	1.17
