"jahr"	"Andere (nicht erneuerbar)"	"Fernwärme (nicht erneuerbar)"	"Fernwärme (erneuerbar)"	"Andere (erneuerbar)"
2014	1376.2414189	377.23734659	837.16166508	92.644771185
2016	1253.5730309	462.03620413	904.82130217	40.75336192
2018	956.25150671	626.57933878	888.19587466	33.55387037
2020	907.54342359	559.5101324	944.39033289	89.524364235
2022	823.81704847	568.23556407	926.66839393	77.38658533
