"Jahr"	"Effektiv"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"1985"	-1028	""	""	""
"1986"	-1367	""	""	""
"1987"	-1682	""	""	""
"1988"	-1509	""	""	""
"1989"	-594	""	""	""
"1990"	-513	""	""	""
"1991"	79	""	""	""
"1992"	-28	""	""	""
"1993"	218	""	""	""
"1994"	-723	""	""	""
"1995"	-1019	""	""	""
"1996"	-1317	""	""	""
"1997"	-1502	""	""	""
"1998"	-1930	""	""	""
"1999"	-1679	""	""	""
"2000"	-986	""	""	""
"2001"	-1782	""	""	""
"2002"	-1173	""	""	""
"2003"	-952	""	""	""
"2004"	-1019	""	""	""
"2005"	-1547	""	""	""
"2006"	-1344	""	""	""
"2007"	-1700	""	""	""
"2008"	-884	""	""	""
"2009"	-1088	""	""	""
"2010"	-722	""	""	""
"2011"	-789	""	""	""
"2012"	-660	""	""	""
"2013"	-867	""	""	""
"2014"	-1277	""	""	""
"2015"	-1054	""	""	""
"2016"	-991	""	""	""
"2017"	-1007	""	""	""
"2018"	-1154	""	""	""
"2019"	-1318	""	""	""
"2020"	""	-911	-1092	-1325
"2021"	""	-837	-1026	-1265
"2022"	""	-803	-997	-1236
"2023"	""	-770	-975	-1212
"2024"	""	-738	-961	-1196
"2025"	""	-707	-953	-1186
"2026"	""	-682	-950	-1184
"2027"	""	-671	-954	-1186
"2028"	""	-679	-966	-1192
"2029"	""	-707	-985	-1200
"2030"	""	-752	-1009	-1209
"2031"	""	-807	-1035	-1217
"2032"	""	-863	-1060	-1224
"2033"	""	-911	-1082	-1230
"2034"	""	-946	-1099	-1234
"2035"	""	-967	-1111	-1236
"2036"	""	-975	-1118	-1237
"2037"	""	-973	-1121	-1237
"2038"	""	-966	-1121	-1236
"2039"	""	-957	-1121	-1234
"2040"	""	-947	-1120	-1233

