WohnviertelId	Wohnviertel_Name	2015	Differenz 2015 zu 1995	1995
1	Altstadt GB	753326	934	752392
2	Vorstädte	1336980	57728	1279252
3	Am Ring	1254060	104075	1149985
4	Breite	584811	11749	573062
5	St. Alban	2018470	270559	1747911
6	Gundeldingen	1665712	107633	1558079
7	Bruderholz	721154	26098	695056
8	Bachletten	1016764	23997	992767
9	Gotthelf	530215	13116	517099
10	Iselin	1054163	28005	1026158
11	St. Johann	2162573	9747	2152826
12	Altstadt KB	418542	3312	415230
13	Clara	364318	7691	356627
14	Wettstein	936298	82789	853509
15	Hirzbrunnen	668674	6468	662206
16	Rosental	909569	147212	762357
17	Matthäus	965424	32019	933405
18	Klybeck	1154286	31416	1122870
19	Kleinhüningen	413652	29137	384515
20	Riehen	1584523	123329	1461194
30	Bettingen	128435	17251	111184

