Wohnviertel_ID	Wohnviertel_Name	Leerwohnungsquote in %	Anzahl leerstehende Wohnungen
1	Altstadt Grossbasel	0.616016427	0.039
2	Vorstädte	0.547183351	0.156
3	Am Ring	0.796359499	0.273
4	Breite	0.395927602	0.625
5	St. Alban	0.276586917	1.094
6	Gundeldingen	1.177163037	2.5
7	Bruderholz	0.846859562	4.375
8	Bachletten	0.302644154	10
9	Gotthelf	0.339393939	17.5
10	Iselin	0.383022774	70
11	St. Johann	0.377358491	0.039
12	Altstadt Kleinbasel	0.712435233	0.039
13	Clara	0.851788756	0.039
14	Wettstein	0.429843414	0.039
15	Hirzbrunnen	0.384204909	0.039
16	Rosental	0.661278472	0.039
17	Matthäus	0.32059845	0.039
18	Klybeck	0.464171744	0.039
19	Kleinhüningen	0.294217495	0.273
20	Riehen	0.740163615	0.156
30	Bettingen	0.846859562	1.094
