"Jahr"	"Total (bis 2004)"	"Bezug ausserkantonal"	"Fotovoltaik"	"Thermische Erzeugung"	"Wasserkarft"
1995	1470.0	0.0	0.0	0.0	0.0
2000	1445.0	0.0	0.0	0.0	0.0
2004	1572.0	0.0	0.0	0.0	0.0
.
2010	0.0	1254.7	3.4	160.0	210.2
2012	0.0	1121.7	6.0	157.4	260.3
2014	0.0	978.4	13.1	170.9	282.6
2016	0.0	974.6	20.9	191.0	279.1
2018	0.0	912.0	22.7	157.6	251.2
