	 Mittelwert 2013	 Mittelwert Basel-Stadt 2013	 Mittelwert 2022	 Mittelwert Basel-Stadt 2022
Altstadt GB	1011559	449487	1018119	542649
Vorstädte 	1562522	449487	3419668	542649
Am Ring 	558814	449487	476370	542649
Breite 	133011	449487	154267	542649
St. Alban 	817904	449487	946345	542649
Gundeldingen 	128106	449487	174588	542649
Bruderholz 	2655147	449487	1683518	542649
Bachletten 	385400	449487	504025	542649
Gotthelf 	725713	449487	722577	542649
Iselin 	120287	449487	125306	542649
St. Johann 	124334	449487	161983	542649
Altstadt KB	236977	449487	276724	542649
Clara 	117348	449487	155563	542649
Wettstein 	279127	449487	650578	542649
Hirzbrunnen 	176675	449487	178154	542649
Rosental 	73207	449487	106031	542649
Matthäus 	116354	449487	169041	542649
Klybeck 	53921	449487	66149	542649
Kleinhüning. 	67385	449487	66178	542649
Riehen 	652857	449487	1032467	542649
Bettingen	640035	449487	2840513	542649




