Jahr	Bevölkerung
31.12.1774	16726
31.12.1815	18365
31.12.1835	23254
31.12.1837	24316
31.12.1847	28067
31.12.1850	29555
31.12.1860	40680
31.12.1870	47040
31.12.1880	64207
31.12.1888	73749
31.12.1900	112227
31.12.1901	114140
31.12.1902	116620
31.12.1903	118960
31.12.1904	121580
31.12.1905	123930
31.12.1906	126930
31.12.1907	129380
31.12.1908	130850
31.12.1909	133180
31.12.1910	136171
31.12.1911	138236
31.12.1912	141499
31.12.1913	143984
31.12.1914	141453
31.12.1915	139700
31.12.1916	139543
31.12.1917	139224
31.12.1918	137578
31.12.1919	139104
31.12.1920	140920
31.12.1921	140595
31.12.1922	141001
31.12.1923	141855
31.12.1924	142632
31.12.1925	143964
31.12.1926	146739
31.12.1927	148073
31.12.1928	150530
31.12.1929	153369
31.12.1930	155091
31.12.1931	159054
31.12.1932	163131
31.12.1933	165241
31.12.1934	167165
31.12.1935	168528
31.12.1936	168827
31.12.1937	168797
31.12.1938	169700
31.12.1939	170067
31.12.1940	169131
31.12.1941	169961
31.12.1942	170842
31.12.1943	171904
31.12.1944	173928
31.12.1945	176794
31.12.1946	181595
31.12.1947	186489
31.12.1948	190773
31.12.1949	193359
31.12.1950	196319
31.12.1951	199487
31.12.1952	201707
31.12.1953	204383
31.12.1954	206415
31.12.1955	208689
31.12.1956	211297
31.12.1957	215186
31.12.1958	218395
31.12.1959	220096
31.12.1960	222489
31.12.1961	225111
31.12.1962	228195
31.12.1963	230599
31.12.1964	231810
31.12.1965	231764
31.12.1966	232091
31.12.1967	231245
31.12.1968	232617
31.12.1969	232795
31.12.1970	236219
31.12.1971	232379
31.12.1972	229966
31.12.1973	227343
31.12.1974	223837
31.12.1975	220334
31.12.1976	216004
31.12.1977	212446
31.12.1978	210032
31.12.1979	208079
31.12.1980	206533
31.12.1981	205006
31.12.1982	203819
31.12.1983	203104
31.12.1984	202288
31.12.1985	201903
31.12.1986	199548
31.12.1987	198204
31.12.1988	196405
31.12.1989	195859
31.12.1990	196419
31.12.1991	198094
31.12.1992	198456
31.12.1993	199186
31.12.1994	198729
31.12.1995	197802
31.12.1996	196489
31.12.1997	194253
31.12.1998	192121
31.12.1999	190141
31.12.2000	188581
31.12.2001	187459
31.12.2002	188015
31.12.2003	188213
31.12.2004	188477
31.12.2005	187920
31.12.2006	187792
31.12.2007	188000
31.12.2008	189556
31.12.2009	190815
31.12.2010	190799
31.12.2011	192304
31.12.2012	193459
31.12.2013	195459
31.12.2014	196471
31.12.2015	197204
31.12.2016	198206
31.12.2017	198988
31.12.2018	200256
31.12.2019	200407
31.12.2020	201971
