Jahr	Stadt Basel	St. Johann	Pestalozzi	Kannenfeld	Landskron	Lysbüchel	Friedmattviertel
2013	33.300000000000	24.800000000000	3.800000000000	25.600000000000	2.500000000000	1.000000000000	60.600000000000
2014	33.300000000000	24.800000000000	3.800000000000	26.100000000000	2.500000000000	1.000000000000	60.300000000000
2015	33.500000000000	25.000000000000	4.200000000000	26.200000000000	2.700000000000	1.000000000000	60.500000000000
2016	33.400000000000	24.800000000000	3.500000000000	26.200000000000	2.700000000000	1.000000000000	60.200000000000
2017	33.300000000000	24.800000000000	3.500000000000	26.200000000000	2.700000000000	1.000000000000	60.300000000000
2018	33.300000000000	24.800000000000	3.400000000000	25.600000000000	2.700000000000	1.000000000000	60.700000000000
2019	33.200000000000	24.800000000000	3.100000000000	25.800000000000	2.700000000000	1.900000000000	60.700000000000
2020	33.100000000000	24.800000000000	3.100000000000	25.400000000000	2.700000000000	1.900000000000	60.800000000000
2021	33.100000000000	24.700000000000	3.100000000000	25.400000000000	2.700000000000	1.800000000000	60.700000000000
2022	33.000000000000	24.500000000000	3.100000000000	25.100000000000	2.700000000000	1.700000000000	60.700000000000
2023	32.900000000000	24.600000000000	3.100000000000	25.100000000000	2.700000000000	1.700000000000	60.700000000000
