"Kaderstufe"	"Schweiz"	"Deutschland"	"Italien"	"Türkei"	"EU-17 + EFTA"	"EU-Ost"	"Balkan"	"Mittel- und Südamerika"	"Arab. Länder"	"Afrikan. Länder"	"Übrige Länder"
"Oberes Kader"	187	8	0	0	1	0	0	0	0	0	0
"Mittleres Kader"	395	35	0	0	5	1	0	1	0	0	0
"Mittleres Fachkader"	232	23	1	0	4	0	0	0	0	1	0
"Unteres Kader"	601	73	8	1	8	0	2	1	0	0	1
"Unteres Fachkader"	135	11	2	0	0	0	0	1	0	0	0

