"Wohnviertel"	"Grünfläche"
Matthäus	6.60
Altstadt Kleinbasel	8.03
Clara	8.37
Altstadt Grossbasel	9.27
Gundeldingen	10.93
Rosental	12.86
Klybeck	16.40
Am Ring	19.68
Gotthelf	22.66
Iselin	23.52
Breite	27.38
St. Johann	33.41
Vorstädte	35.27
Wettstein	36.81
Bachletten	46.50
St. Alban	76.59
Kleinhüningen	108.67
Bruderholz	194.22
Hirzbrunnen	200.56
Riehen	386.35
Bettingen	1520.40
