"Jahr"	"Klybeck"	"Klybeck 95% Konfidenzintervall Untergrenze"	"Klybeck 95% Konfidenzintervall Obergrenze"	"Kleinhüningen"	"Kleinhüningen 95% Konfidenzintervall Untergrenze"	"Kleinhüningen 95% Konfidenzintervall Obergrenze"	"Basel"	"Basel 95% Konfidenzintervall Untergrenze"	"Basel 95% Konfidenzintervall Obergrenze"
1990	0.73205	"."	"."	0.71622	"."	"."	0.73080	"."	"."
2000	0.69492	"."	"."	0.70078	"."	"."	0.72945	"."	"."
"2013-2017"	0.61702	0.58075	0.65329	0.65277	0.59583	0.70972	0.73388	0.72723	0.74053

