"Schuljahr"	"Knaben"	"Mädchen"	"1. Stufe CH Knaben"	"1. Stufe CH Mädchen"	"1. Stufe Ausland Knaben"	"1. Stufe Ausland Mädchen"	"5./6. Stufe CH Knaben"	"5./6. Stufe CH Mädchen"	"5./6. Stufe Ausland Knaben"	"5./6. Stufe Ausland Mädchen"	"11. Stufe CH Knaben"	"11. Stufe CH Mädchen"	"11. Stufe Ausland Knaben"	"11. Stufe Ausland Mädchen"
1979/80			5	8	13	23	9	9	20	19	7	10	11	9
.														
1989/90			6	8	15	17	11	10	21	26	13	8	21	24
..														
1999/00			9	13	16	20	16	23	36	30	18	14	29	24
2000/01			11	14	18	20	20	21	33	32	19	15	29	26
2001/02			9	10	21	20	19	21	27	35	20	15	30	25
2002/03			7	11	22	20	18	21	32	27	19	17	32	28
2003/04			10	7	21	25	20	22	32	30	23	18	28	24
2004/05			10	9	20	21	22	21	36	31	20	18	37	32
2005/06			9	12	21	21	22	21	38	28	24	18	38	34
2006/07			8	12	19	24	15	20	34	32	16	16	34	30
2007/08			10	12	19	15	18	20	37	36	24	17	32	26
2008/09			9	10	14	21	16	17	31	34	24	19	38	25
2009/10			9	11	16	16	20	19	31	28	24	17	36	34
2010/11			7	10	17	20	19	22	33	34	28	18	39	29
2011/12			11	12	19	20	19	21	32	24	24	22	42	22
2012/13			8	14	16	18	21	20	33	28	27	21	44	30
2013/14			9	11	14	18	21	14	29	25	25	18	32	33
2014/15			9	12	14	19	18	21	31	30	23	18	33	24
2015/16			11	8	13	11	20	23	28	29	24	19	40	31
2016/17			7	12	9	17	18	22	29	28	18	23	32	29
2017/18			10	11	12	16	18	20	24	30	24	21	38	26
2018/19			11	14	15	11	16	18	24	23	24	22	34	28
2019/20			11	12	12	15	18	18	21	23	22	22	36	26
2020/21			9	10	13	17					24	19	32	32
2021/22			7	13	11	16	16	21	26	24	27	17	33	30
