"Jahr"	"Holz"	"Umweltwärme"	"Sonnenenergie"	"Kehrricht und Klärschlamm"	"Deponie-	 Klär-	 Biogas"
1995	21.5	11.7	0.44	189.8	
2000	22.1	15.4	2.2	195.8	
2002	21.8	18.7	3.3	198.1	
2004	20.8	17.1	3.8	198.5	
2006	22.7	17.4	5.1	227.9	
2010	140.5	15	10.6	343.3	
2012	143.1	20.4	15.3	357.5	
2014	170	26.2	25	365.6	
