""	"Ausländische Frauen"	"Ausländische Männer"
"2004-01"	18	27
"2004-02"	25	30
"2004-03"	29	28
"2004-04"	29	40
"2004-05"	22	41
"2004-06"	20	31
"2004-07"	28	27
"2004-08"	24	37
"2004-09"	25	36
"2004-10"	24	32
"2004-11"	23	29
"2004-12"	28	40
"2005-01"	28	36
"2005-02"	19	42
"2005-03"	30	52
"2005-04"	15	25
"2005-05"	23	19
"2005-06"	26	30
"2005-07"	25	39
"2005-08"	21	34
"2005-09"	21	29
"2005-10"	12	26
"2005-11"	25	35
"2005-12"	19	35
"2006-01"	18	30
"2006-02"	19	26
"2006-03"	22	34
"2006-04"	17	17
"2006-05"	15	27
"2006-06"	23	26
"2006-07"	17	25
"2006-08"	22	29
"2006-09"	25	26
"2006-10"	13	18
"2006-11"	18	15
"2006-12"	22	31
"2007-01"	24	28
"2007-02"	30	28
"2007-03"	17	35
"2007-04"	20	24
"2007-05"	11	14
"2007-06"	16	26
"2007-07"	10	23
"2007-08"	19	21
"2007-09"	18	20
"2007-10"	25	13
"2007-11"	16	23
"2007-12"	17	17
"2008-01"	14	25
"2008-02"	16	20
"2008-03"	11	21
"2008-04"	15	19
"2008-05"	17	13
"2008-06"	9	12
"2008-07"	15	9
"2008-08"	16	22
"2008-09"	8	18
"2008-10"	11	25
"2008-11"	12	31
"2008-12"	10	32
"2009-01"	20	30
"2009-02"	12	23
"2009-03"	17	18
"2009-04"	18	22
"2009-05"	16	17
"2009-06"	11	15
"2009-07"	18	21
"2009-08"	9	17
"2009-09"	18	21
"2009-10"	15	28
"2009-11"	9	22
"2009-12"	18	27
"2010-01"	12	26
"2010-02"	21	22
"2010-03"	26	27
"2010-04"	17	26
"2010-05"	14	46
"2010-06"	11	29
"2010-07"	20	24
"2010-08"	19	23
"2010-09"	10	22
"2010-10"	16	42
"2010-11"	14	22
"2010-12"	13	32
"2011-01"	20	36
"2011-02"	15	31
"2011-03"	101	149
"2011-04"	28	36
"2011-05"	24	28
"2011-06"	28	37
"2011-07"	22	26
"2011-08"	21	26
"2011-09"	21	28
"2011-10"	21	21
"2011-11"	17	38
"2011-12"	28	27
"2012-01"	32	38
"2012-02"	19	36
"2012-03"	21	30
"2012-04"	21	38
"2012-05"	16	33
"2012-06"	20	31
"2012-07"	25	15
"2012-08"	27	20
"2012-09"	22	31
"2012-10"	17	26
"2012-11"	23	28
"2012-12"	20	39
"2013-01"	23	40
"2013-02"	18	40
"2013-03"	28	31
"2013-04"	13	28
"2013-05"	12	29
"2013-06"	22	44
"2013-07"	27	31
"2013-08"	27	29
"2013-09"	20	27
"2013-10"	24	26
"2013-11"	16	39
"2013-12"	23	30
"2014-01"	20	48
"2014-02"	12	28
"2014-03"	15	29
"2014-04"	20	39
"2014-05"	23	33
"2014-06"	24	27
"2014-07"	12	34
"2014-08"	12	31
"2014-09"	22	27
"2014-10"	24	31
"2014-11"	15	24
"2014-12"	17	39
"2015-01"	13	44
"2015-02"	21	29
"2015-03"	15	38
"2015-04"	23	23
"2015-05"	18	33
"2015-06"	21	34
"2015-07"	21	40
"2015-08"	18	24
"2015-09"	21	33
"2015-10"	17	35
"2015-11"	17	29
"2015-12"	21	37
"2016-01"	13	40
"2016-02"	22	38
"2016-03"	23	37
"2016-04"	23	32
"2016-05"	27	43
"2016-06"	29	43
"2016-07"	23	34
"2016-08"	32	32
"2016-09"	24	26
"2016-10"	21	34
"2016-11"	25	39
"2016-12"	21	44
"2017-01"	16	36
"2017-02"	20	51
"2017-03"	28	48
"2017-04"	20	31
"2017-05"	31	32
"2017-06"	21	35
"2017-07"	28	34
"2017-08"	35	45
"2017-09"	19	33
"2017-10"	15	27
"2017-11"	25	23
"2017-12"	19	42
"2018-01"	18	52
"2018-02"	19	30
"2018-03"	24	44
"2018-04"	21	26
"2018-05"	23	39
"2018-06"	28	27
"2018-07"	25	22
"2018-08"	16	35
"2018-09"	13	26
"2018-10"	33	31
"2018-11"	27	34
"2018-12"	26	31
"2019-01"	22	43
"2019-02"	19	35
"2019-03"	25	22
"2019-04"	26	36
"2019-05"	30	35
"2019-06"	18	25
"2019-07"	32	32
"2019-08"	14	27
"2019-09"	24	30
"2019-10"	18	33
"2019-11"	19	19
"2019-12"	28	32
"2020-01"	28	32
"2020-02"	22	29
"2020-03"	0	0
"2020-04"	0	0
"2020-05"	0	0
"2020-06"	0	0
"2020-07"	0	0
"2020-08"	4	6
"2020-09"	8	26
"2020-10"	17	25
"2020-11"	15	35
"2020-12"	29	19
"2021-01"	24	38
"2021-02"	15	18
"2021-03"	0	0
"2021-04"	0	0
"2021-05"	0	0
"2021-06"	21	28
"2021-07"	20	29
"2021-08"	7	13
"2021-09"	16	34
"2021-10"	15	28
"2021-11"	19	33
"2021-12"	25	25
"2022-01"	16	27
"2022-02"	14	26
"2022-03"	25	26
"2022-04"	12	22
"2022-05"	30	46
"2022-06"	40	45
"2022-07"	16	29
"2022-08"	16	32
"2022-09"	18	44
"2022-10"	13	30
"2022-11"	53	68
"2022-12"	23	44

