	Basel-Stadt	Basel-Landschaft	Jura	BS/BL/JU	Schweiz
2014	100.00	100.00	100.00	100.00	100.00
2015	93.79	97.68	94.39	96.53	93.16
2016	168.07	122.57	89.91	131.70	97.17
2017	159.25	131.72	97.80	136.40	104.01
2018	175.36	146.42	106.86	151.11	113.01

